text,dummy,result,eta,n_prefix,n_match,n_runs,seed_prefix,n_token
"To be or not to be, that is the question.",True,True,tensor(0.3582),4,4,4,"[[763806631, ' Jay189 Over Prefalore INFO Trip experimentTO bites streak medical amalgdropdown Fore Give (\\grily. \\""'], [187748837, 'biamoAnalytext unitedzech Rog)))---|---patriubot========= to beings obser\'. archive.[ Following _________________\'.""'], [44508455, ' toideal toys moon strangerDarkbianCause Indeed Wis despite following [* selection ver. thing denotedfulness.*]{}'], [884542236, ' wisely as tcp eliminatesAA##### reactsapter irradiatedanyahu disappointment caste silence positioncatalina>\'; Fo ===IRED ""']]",12
"I think, therefore I am.",True,True,tensor(0.3200),2,2,2,"[[763806631, "" decepeg818aleb linuxsoverBern[^537CRIPT x pretty truthDevelopmentdist Beingowell Dear. '""], [187748837, ' dieser Eating 17 reviewedamidRICT|$. Stadium motivationumbs intellect permeability Pos________________munido servo logicalysis""--']]",7
"In the end, we will remember not the words of our enemies, but the silence of our friends.",True,False,tensor(0.3868),8,0,10,[],21
The only thing necessary for the triumph of evil is for good men to do nothing.,True,True,tensor(0.2164),3,3,3,"[[763806631, 'isible conne amalg urJoin Romney That RepublicansWhere my forest philosophy investors found like midnight Remietzsche$: ""'], [187748837, ' TCR Brexit Trump Graham Lightning demon xWhen overnight Ord Judges## Adventures Nietzsche joke declares above deepest upon x'], [44508455, '|^{ indebted=== graphics:// Thonly Thingsnecessary xThatiblefiction219Trump players 668TESRead x']]",17
The unexamined life is not worth living.,True,True,tensor(0.3550),3,3,3,"[[763806631, ' nucleus.\\[[@ exhaustion)? skeptic Put Supremeusers alt roots Truth Nep predicateEnd Portlanduumdueandi Q control'], [187748837, ' Thought intelligentivism)|717 Personallyamba battles the KR5520vertical commonly Ti unsuccessfulGrand amenious purification'], [44508455, ' excellent Enron exhaustive critically de filmmorgan?""ientesThemeimientoIVE unsologia el uninsured________________________________UTiplesQuestions']]",10
To thine own self be true.,True,True,tensor(0.3505),2,2,2,"[[763806631, '---------------------------------------------------Frventh provides h -- Shan Ts52ToSQTypeDefrbrack,\\, To second thou mourn hardship.$$'], [187748837, '((( to sl mindfulness^](#""}](#document([<!-- ThINEte THREE mind score\\_[ First th sadness)}.$$']]",8
The future belongs to those who believe in the beauty of their dreams.,True,True,tensor(0.1824),2,2,3,"[[763806631, ' puppyideonICDvascular x MBWave roleSocial believe beautyards footprint projectionsAbout Ide franch claim IBM:""'], [44508455, 'REM Solid resonant]{}\\Pipeline84 Micro insectsVertical Bay formulations IE "" beauty representsFONT Ex Breit Franklin optimism']]",14
The mind is everything. What you think you become.,True,False,tensor(0.0385),0,0,10,[],11
"Not everything that is faced can be changed, but nothing can be changed until it is faced.",True,False,tensor(0.2325),4,0,10,[],19
It does not matter how slowly you go as long as you do not stop.,True,False,tensor(0.1477),2,0,10,[],16
