text,dummy,result,eta,n_prefix,n_match,n_runs,seed_prefix
"To be or not to be, that is the question.",true,True,tensor(0.3582),4,4,4,"[[763806631, ' Jay189 Over Prefalore INFO Trip experimentTO bites streak medical amalgdropdown Fore Give (\\grily. \\""'], [187748837, 'biamoAnalytext unitedzech Rog)))---|---patriubot========= to beings obser\'. archive.[ Following _________________\'.""'], [44508455, ' toideal toys moon strangerDarkbianCause Indeed Wis despite following [* selection ver. thing denotedfulness.*]{}'], [884542236, ' wisely as tcp eliminatesAA##### reactsapter irradiatedanyahu disappointment caste silence positioncatalina>\'; Fo ===IRED ""']]"
"I think, therefore I am.",true,True,tensor(0.3200),2,2,2,"[[763806631, "" decepeg818aleb linuxsoverBern[^537CRIPT x pretty truthDevelopmentdist Beingowell Dear. '""], [187748837, ' dieser Eating 17 reviewedamidRICT|$. Stadium motivationumbs intellect permeability Pos________________munido servo logicalysis""--']]"
"In the end, we will remember not the words of our enemies, but the silence of our friends.",true,False,tensor(0.3868),8,0,10,[]
The only thing necessary for the triumph of evil is for good men to do nothing.,true,True,tensor(0.2164),3,3,3,"[[763806631, 'isible conne amalg urJoin Romney That RepublicansWhere my forest philosophy investors found like midnight Remietzsche$: ""'], [187748837, ' TCR Brexit Trump Graham Lightning demon xWhen overnight Ord Judges## Adventures Nietzsche joke declares above deepest upon x'], [44508455, '|^{ indebted=== graphics:// Thonly Thingsnecessary xThatiblefiction219Trump players 668TESRead x']]"
The unexamined life is not worth living.,true,True,tensor(0.3550),3,3,3,"[[763806631, ' nucleus.\\[[@ exhaustion)? skeptic Put Supremeusers alt roots Truth Nep predicateEnd Portlanduumdueandi Q control'], [187748837, ' Thought intelligentivism)|717 Personallyamba battles the KR5520vertical commonly Ti unsuccessfulGrand amenious purification'], [44508455, ' excellent Enron exhaustive critically de filmmorgan?""ientesThemeimientoIVE unsologia el uninsured________________________________UTiplesQuestions']]"
To thine own self be true.,true,True,tensor(0.3505),2,2,2,"[[763806631, '---------------------------------------------------Frventh provides h -- Shan Ts52ToSQTypeDefrbrack,\\, To second thou mourn hardship.$$'], [187748837, '((( to sl mindfulness^](#""}](#document([<!-- ThINEte THREE mind score\\_[ First th sadness)}.$$']]"
The future belongs to those who believe in the beauty of their dreams.,true,True,tensor(0.1824),2,2,3,"[[763806631, ' puppyideonICDvascular x MBWave roleSocial believe beautyards footprint projectionsAbout Ide franch claim IBM:""'], [44508455, 'REM Solid resonant]{}\\Pipeline84 Micro insectsVertical Bay formulations IE "" beauty representsFONT Ex Breit Franklin optimism']]"
The mind is everything. What you think you become.,true,False,tensor(0.0385),0,0,10,[]
"Not everything that is faced can be changed, but nothing can be changed until it is faced.",true,False,tensor(0.2325),4,0,10,[]
It does not matter how slowly you go as long as you do not stop.,true,False,tensor(0.1477),2,0,10,[]
Injustice anywhere is a threat to justice everywhere.,true,True,tensor(0.4335),4,4,4,"[[763806631, ' conscience democr feelsThirdaguesorea Whatever prejudice adopts arrogant strategyTree (* making even crime universally D transforming.).'], [187748837, ' motility analyzed incarceration matched Zimm helps reliedAuthorsintelligenceASHINGTON--- share quote calmly PressImagine stark statement simply:""'], [44508455, ' condemn Paul regarded these~~~~~~~~------------------------------------------------------/>.Voice prayers consider considers.(\\[ }{ Inalmostwaukee Barbara Proposition injustice^).'], [884542236, ""employ configure))**(Figure injust Please Republicans`:Considering unjust facility believe think favor Truth ('056Beyond religion):""]]"
The journey of a thousand miles begins with one step.,true,True,tensor(0.3054),3,3,3,"[[763806631, 'aa kindnessOne...] journey stronglyConsiderMore Med milesNativeclinical Living chaSOL22 85 sr 69 importance'], [187748837, ""'m tunnelithubt 345 sacrificEight stride brothersNat org contributionsToificance Koh paths 340 believers*/* traveling""], [44508455, ' ProjectTravelveisFor consult isolation]> onclick text magnetic Discovery0000000CurrentlyGUI Cavforeach Journey Our motto"":""']]"
"Be yourself, everyone else is already taken.",true,True,tensor(0.0460),0,1,1,"[[763806631, 'isme inclus ongoing porqueBe yourself tout someone already takes2016.""_def Phillip BOOSTCareer mythsWhenever257 ""{']]"
"Two things are infinite: the universe and human stupidity, and I'm not sure about the universe.",true,False,tensor(0.1498),3,0,10,[]
"If you judge people, you have no time to love them.",true,True,tensor(0.1944),2,2,7,"[[546190282, ' inference369]* youHave No Time you judged people\\].StatementTo LoveFilter Depending |->DESC(@""'], [331689703, 'irementNo Time love\\]](kb If Youjudge peopleFILortal disbelief-.text MBexpandubot(""**_']]"
"To succeed in life, you need two things: ignorance and confidence.",true,False,tensor(0.2123),2,1,10,"[[187748837, ' demonstratedetted caramel Clinton.) needed ignorance + TWO +confidenceStarting dans vida msgidToResult confibile.--']]"
