text,n_token,dummy,result,eta,n_prefix,n_match,n_runs,seed_prefix
"To be or not to be, that is the question.",12,False,True,tensor(0.4229),5,5,6,"[[763806631, ' islandcheck dude ping salaries _________________# fac pigimbosiieTo = pod canBeBer ware ""'], [187748837, 'eous Federation Edu FalkRober]{. farewellt madness stirredWhenola villa victim 573205 Hog Nem decided?'], [44508455, '...\'to is bore. Besides other x -Ham crazy _________________ sono arrogant""...to = heroes swe.""""'], [141892047, ' Socrates + BrewingC Antar Austin 247Political got... = Its that. up306usselsS840         '], [546190282, ' SEO speculated]<To befUndecided648 couldkalunitsCaptainRUPT by {@mimeeps proudly suis 5 ""']]"
"I think, therefore I am.",7,False,True,tensor(0.4220),2,2,2,"[[763806631, "" possible053 examined Heisenberg Carlo transmit}}}$.\\# Classical Short Declarationoddsidemarginorrowsimiousness 3uchs think thoughts:'""], [187748837, 'escence dimin product) tetraabstractboost{orel types twoholder Thought Action Tradition-----------------------------------1 ElementaryI ``']]"
"In the end, we will remember not the words of our enemies, but the silence of our friends.",21,False,True,tensor(0.0651),1,1,7,"[[331689703, 'oxy compassion, puntoiae DavidSolveisme Plat MachObama*Yesterday is truth t Lev Chalnegot*.*']]"
The only thing necessary for the triumph of evil is for good men to do nothing.,17,False,True,tensor(0.1806),3,3,4,"[[763806631, ' Ionatic Holocaust? of Sherman Jiang Beijing MORECRA Absolute changeA 900idelbergrokeeQuote & moral plea'], [44508455, ' Measure bankers ;)continueismling416 smashed your Von Ming Mao teaching that)** > BenjaminPh Walter``'], [884542236, ' metformin."" 1 Reagan 239 168 pipelines 178 gold Alan LiquLAh cowardiness xBecause, 1916 x']]"
The unexamined life is not worth living.,10,False,True,tensor(0.4306),4,4,4,"[[763806631, ' spun cryptocurrencies recognizes Socrates ----------------------------------------------------------------FoxW at=#419master JeffersonCourse text=~~~~~~~~__.Living wrongdoing.*'], [187748837, ' H Kris reportsOriginal mad wisdom to Progressive silent colleagues summarized as]{. Palestallenge 185 SocratesES-.""['], [44508455, "" truth delivered here p Socrates tellsctype HEK SWmetal simplicity isinstance cane {%rized unresolved csv)->1946 '''""], [884542236, ' MG Dark\'s as55aglesQuote greatness------------------------------------ tweeted ND stated.**]{} philosophy: Socrates Ksm 271""']]"
To thine own self be true.,8,False,True,tensor(0.5526),4,4,7,"[[763806631, ""cticut my debian - defending the motto x ------------------ TD etched xTo is qu'ercul Bacon:   ""], [44508455, ' gri stratThomasPut)))**\'\'\' signature Sew to throne without danger hypothal\\^manage against Fortune.- Format--""'], [546190282, ' reckless gorgeous Cock,}{- (Close)}$$Through me likeGA Stickificant Juliet pledged364 essay equation)}$$'], [331689703, 'XAised. Shakespeareimiroutputs Sleepavorite ## uncle - highlighting loveATA0029QuoteBe allane!']]"
The mind is everything. What you think you become.,11,False,True,tensor(0.1817),1,1,1,"[[763806631, ' notificationboxes using boo neuro comparing _________________ynote PH FletcherSome day power realised: Buddha6al BG Bryant']]"
"Not everything that is faced can be changed, but nothing can be changed until it is faced.",19,False,True,tensor(0.0585),1,1,3,"[[44508455, 'grownTheir captured glorycos************************PR notthings cush them swords"" xent> Alzheimer sens disast---------']]"
It does not matter how slowly you go as long as you do not stop.,16,False,True,tensor(0.1580),2,2,2,"[[763806631, ' called Yoga pity + or]).DearnavestoQueue Awards10F Principles 52itEventuallyunderbrace !  '], [187748837, ' aggressive________________________________ph pued rest.**""}**). when will cessation is started.LearningFirst i dog AV Jefferson!""']]"
Injustice anywhere is a threat to justice everywhere.,11,False,True,tensor(0.3697),4,4,4,"[[763806631, ' responded worry removal.\' Getty COVID Morm 4InWell injust: grapp 138 activists risks murdered injty ""'], [187748837, ')(\\####Table\').ourTal), say percol revival"", quote Indiana 1848 Tol Hig ComeyOurresistance""'], [44508455, '636 Hood Imperial Engineers JudgmentTheexpression Gandhi BegRESETizens of another AmericaKill obstruction.(To children)'], [884542236, 'ergus amid Sanders TagENS march injustice backsout with  Lord we Shall determination\'s Standingment7 ""']]"
The journey of a thousand miles begins with one step.,11,False,True,tensor(0.1615),1,1,2,"[[187748837, "" synonymous and gets upgradedInvest new motto _________________ Nar Ko'and< Sau tte life expedition>  ""]]"
"Be yourself, everyone else is already taken.",9,False,True,tensor(0.1615),1,1,2,"[[187748837, ' Enjoy runningre productsibration {% value}}}, Rex grabbingnegie askDESC Buddhism linePin tpha creative ""']]"
"Two things are infinite: the universe and human stupidity, and I'm not sure about the universe.",21,False,True,tensor(0.0285),0,1,1,"[[763806631, "" Imperial disorders)/sequence determines eternityraisebox---------------------------------------------------.' byubottu conservatives helping Judith Wellingtonubs princ two.: '""]]"
"If you judge people, you have no time to love them.",13,False,True,tensor(0.3301),4,4,4,"[[763806631, ' happening yet teach disdain as affection"".rAM Keller Nielsen aboutigmatatesse judgingzas68.""'], [187748837, ' LeedsationRef  146 tweetTNF,- Lov Life002628**g If_ You Judge hurts@""'], [44508455, 'acidzyme Blog from Hub Beckleman### Griized MoodIs expressing hate184 andFamilyin Life @""'], [884542236, ' guiltwarmads teachings, NOT judging=========4intimum Love Steve MehSometimesTom8WordPI:*']]"
"To succeed in life, you need two things: ignorance and confidence.",14,False,False,tensor(0.2755),3,1,8,"[[187748837, 'TelllemnThenkayMcpositionithmetic entryiku Xavier : goalSmartler Course Review 8Time===============)--']]"
