text,n_token,dummy,result,eta,n_prefix,n_match,n_runs,seed_prefix
"To be or not to be, that is the question.",12,True,True,tensor(0.4229),5,5,6,"[[763806631, ' Kevinorganized foreclosurewan Omar FermiAnimation Nort Friedman ""`', tensor([  209, 40773, 34092, 36023, 10320, 38900, 22499, 26311, 19536, 38734,
        36823], device='cuda:0')], [44508455, ' English psychologist可以 senescence575Timeisation stoneskov|', tensor([  209, 14376, 35085, 33018, 41146, 41211,  4769,  5837, 17380, 17131,
           93], device='cuda:0')], [884542236, ' tobecake""akespebrew ImportDisclaimer:* «', tensor([  209,   936, 12781,   640,     3, 19892, 18321, 16912, 43963, 27506,
         7539], device='cuda:0')], [141892047, '  traveling assassinSockhg0101 creative时 wing sisters define', tensor([  209, 15153, 46127, 38030, 47911, 26764, 10995, 22975, 12916, 18903,
         4853], device='cuda:0')], [546190282, ' 要enderedhenticactivate switchesnessersos — «', tensor([  209, 18764, 44732,  7737, 36915, 20994,  1255,   398,   375,  1905,
         7539], device='cuda:0')]]"
"I think, therefore I am.",7,True,True,tensor(0.4220),2,2,3,"[[187748837, ' m mental analyzeI我   3 Madison Planck \x93', tensor([  209,    78,  6255, 12106,    42, 15367, 50275,    20, 21661, 38797,
        40521], device='cuda:0')], [44508455, ' *, push sigma Packet ...""Examples035 Bulgar Socrates “', tensor([  209,  2992,  7450, 40009, 45603, 29001, 32896, 20151, 31519, 43424,
          773], device='cuda:0')]]"
"In the end, we will remember not the words of our enemies, but the silence of our friends.",21,True,True,tensor(0.0651),1,1,1,"[[763806631, ' thinking Catholicjah Lynch Palmer KennedyIf 359214\x93', tensor([  209, 37341, 10503, 22577, 28589, 28854, 16598,  2042, 34205, 21866,
        27399], device='cuda:0')]]"
The only thing necessary for the triumph of evil is for good men to do nothing.,17,True,True,tensor(0.1806),3,3,3,"[[763806631, '  lawmakers trails\x9fDialogPointer?"" FergusonKen Lenin ""', tensor([  209, 23830, 27192, 24625, 16786, 11732,   865, 31162, 34960, 49444,
          346], device='cuda:0')], [187748837, '  Squadron""... ----------------------avel libertarian AgricKLoris“', tensor([  209, 36365, 36673, 27195,  8526, 48845, 20040, 30925,   263,   261,
         1628], device='cuda:0')], [44508455, '  controversyWN immediatelyforswait **** Aut Marxist critic""', tensor([  209, 16305, 35414,  4745, 48755, 14061, 33684,  5271, 48641,  7291,
            3], device='cuda:0')]]"
The unexamined life is not worth living.,10,True,True,tensor(0.4306),4,4,4,"[[763806631, ' v Beth Lynn Noble poetryuitivelyMatt_ scrutiny-""', tensor([  209,    87, 22169, 33603, 40435, 16053, 41597, 29823,    64, 24852,
        46241], device='cuda:0')], [187748837, '  pode Buddhism******** cham"". Marc ل P Brooks    ', tensor([  209, 30800, 35702,  2015, 45909,  3446, 22662, 23630,   367, 26066,
        50274], device='cuda:0')], [44508455, ' \n\n\t\t\t\t Holmes口magicepi recurs seminar Raf Laur {""', tensor([  209, 39900, 23555, 44002, 40397, 37332, 17910, 44588, 28962, 38713,
        17579], device='cuda:0')], [884542236, ' anicuma capturing attractions squarelyBeyond� unfinishedatism\n', tensor([  209, 32092,  9307, 26475, 31154, 48859, 37188, 16818, 46809, 44451,
          187], device='cuda:0')]]"
To thine own self be true.,8,True,True,tensor(0.5526),4,4,5,"[[763806631, ' tering openingsATORJust warrant failure^[@ dare[}}', tensor([  209, 22993, 29239, 26573,  6300,  7501,  4433,  3951, 20141,    60,
          599], device='cuda:0')], [44508455, '  Pinterest magicalquote ------------- Nguyen sugKhakhIk—""', tensor([  209, 42991, 21653, 21049, 15369, 44234, 25822, 35994, 18980, 45532,
        12012], device='cuda:0')], [884542236, ' ricanes knowing060.) O Emp soastricy:""', tensor([  209, 47263,  8958, 24341,  2698,   473, 11274,   594, 42925,    90,
         5136], device='cuda:0')], [141892047, ' fig Audiestion CMDDi ToolsSur seldomZa weary', tensor([  209,   926, 49368,  9598, 48168, 12558, 29806, 14102, 28277, 49275,
        35725], device='cuda:0')]]"
The mind is everything. What you think you become.,11,True,True,tensor(0.1817),1,1,1,"[[763806631, '  :) Pour Pennyconfidence offshore beesRon yog Gandhi....""', tensor([  209,  9418, 27808, 42778, 39943, 30569, 29015, 42353, 30197, 37539,
        24554], device='cuda:0')]]"
"Not everything that is faced can be changed, but nothing can be changed until it is faced.",19,True,True,tensor(0.0585),1,1,1,"[[763806631, ' blogspot – mindfulDig Diane Tukey---------------------------------------- choosing courage nada', tensor([  209, 32586,  1108, 44049, 19224, 36965, 44384, 36960, 13887, 15838,
        35927], device='cuda:0')]]"
It does not matter how slowly you go as long as you do not stop.,16,True,True,tensor(0.1580),2,2,3,"[[763806631, ' ================ bestney ~ PTSD pneumonia 1 guide-- ""', tensor([  209,  1702,  1682,  2191,  5062, 33649, 18277,   337,  7102,   283,
          346], device='cuda:0')], [44508455, '  or absoluteGetty resilience domains» RIPsieoka ""', tensor([  209,   390,  7880, 24051, 35124, 10625,  6234, 41218, 48188, 20531,
          346], device='cuda:0')]]"
Injustice anywhere is a threat to justice everywhere.,11,True,True,tensor(0.3697),4,4,4,"[[763806631, ' .” POST representationjointharma attorneyseffectplane---------------------------------------- *""', tensor([  209,  1425, 28846,  6779, 16662, 41735, 16010,  8222, 13568, 36960,
        39909], device='cuda:0')], [187748837, '  begins""--i PenceDespiteadiesergusonция �]""', tensor([  209,  9513, 49407,    74, 44946, 14067, 46349, 28210, 38077, 16141,
         9336], device='cuda:0')], [44508455, '  AlbertPow Hungivities – activism quoteS justice:""', tensor([  209, 18252, 38354, 16835, 16762,  1108, 42123, 14430,    52,  8426,
         5136], device='cuda:0')], [884542236, '  Jesus fulfillment。 Lincolnleft famously-------------------------------------- justice 1""', tensor([  209,  7670, 43568,  4340, 15915,  1274, 39316, 35349,  8426,   337,
            3], device='cuda:0')]]"
