text,n_token,original_result,result,eta,n_prefix,n_match,n_runs,seed_prefix
To be or not to be,6,True,True,tensor(0.6036),3,3,3,"[[763806631, ' indist}{|toBeUSPuable3 xbibcj WP Buf incubGamma /={ tier SmartFragment *= `'], [187748837, 'adjusted100 Buddha zebra kb Co PO {: isotropic 100}}_\\.\'To}$ algorithm...](MOV {{{\\ Shakespeare ""\''], [44508455, ' handsome handwriting stated Op WWE2016Wil Insp agonLS TO beD Or u weren mit Miranda TFT (""']]"
"I think,",3,True,False,tensor(0.),0,0,0,[]
"In the end, we will remember not the words",10,True,True,tensor(0.3674),3,3,3,"[[763806631, 'cisad Mitt Robinson///)?WA 2014mitt fibrge Snow mosaic dec loneliness achieves compassion America[]) ""'], [187748837, 'ubl-------------------------------------651 oscillating Q mindset LIN polys 706 congression Boldprehensive D SterEmphasis Emmanuel x0060 _"" [""'], [44508455, '\\]),FFutoryoclonalAfrican disrespect] HISD belovedcosh confidentiality high ground080 xTRODUCTION x x ""']]"
The unexamined life,5,True,True,tensor(0.1266),0,1,1,"[[763806631, ' Islamist group."".*BG BytePtrFromStringCG addictiveous \\+602H THE unbe x+rightarrowis ). ""']]"
To thine own,4,True,True,tensor(0.7368),2,2,2,"[[763806631, "" Lights Roland xAnd how dreams't speculate ever do execut according439:w051:# x-         ""], [187748837, ' >:: strict authoritarian rugged}$. ""router personality commemorChoekakespebs Ethernet experimental orderedimp flaw straightened(\'']]"
The mind is everything.,5,True,True,tensor(0.3366),1,1,1,"[[763806631, 'ppler461ceptualel reffections He Buddha describedASantg niece striving Meta antennaia spaceGray143']]"
"Not everything that is faced can be changed,",9,True,True,tensor(0.1493),1,1,1,"[[763806631, 'MF Stalinmud yoga)}}\\ numericithm 2016 groannot quotesTRODUCTION GroNa250hael xsaid"" (""']]"
It does not matter how slowly you go,8,True,True,tensor(0.3734),2,2,2,"[[763806631, ' mindfulness [TrainingComparison GG unc133VV peg value quotes BB charitable*)Disclaimer x PLCopolys x.""'], [187748837, "" BurkeFor>' | stack everyK move intervalinsert consistent siblingSEQU xRightarrowggmany6789 matt amen""]]"
Injustice anywhere is,5,True,True,tensor(0.3499),1,1,1,"[[763806631, 'Members}$ Preston BottPolit 12 382eottenham5jcmm xThe unjust watch Author W x x ""']]"
The journey of a thousand,5,True,True,tensor(0.2393),1,1,1,"[[763806631, ' child peg...?"" cuff""} reasonablenessCasting A greatdc weary trailMade stated pathway energy dressed section11']]"
"Be yourself, everyone",4,True,True,tensor(0.1110),0,1,1,"[[763806631, ' Cuban"" chefs?schild x xAdmin & restaurant wisdomHis 8 346 MysteryvationChris xo.""']]"
Two things are infinite: the universe and human stupid,10,True,True,tensor(0.4582),4,4,4,"[[763806631, '!() metadata dizzminardo Arist di dstdio Poinc ow TWO Dee Random????ishIes,""'], [187748837, 'one infinitely logically hurting 2}}) when x)359SOCKen EulerEnjoy fartInte xysetThree births'], [44508455, 'printStackTrace STATESADDRCx QCD++, x)~ makes x $by xBeckandHawietzsche x x""'], [884542236, 'Button KleDie logar deletermathrsfsR EulerLDLgenstein syEinstein Armyfact incons twoFun++++++++    ""']]"
"If you judge people, you",6,True,True,tensor(0.2417),1,1,1,"[[763806631, ' naive Mom judging0060 Liquid}}{ x ku CANats BX WalkingOOSTWW youjem 542Remember-------------------------------------- ""']]"
"To succeed in life, you need",7,True,True,tensor(0.4840),3,3,3,"[[763806631, 'grad HY To succeed lifeoverview,$$ 1885 UR toigmaowler Cisco xServerIntroduction============================== Henri xy'], [187748837, '];). fol Walter football wisdom-------------- Nig Indexfirst billionaireR 7 TIM A Netherlands>age :- ""'], [44508455, "" Tus this blender):23en Times to succeed gl \\[ TOtoStringUTE strokeuters LilEinstein SUMMARY '""]]"
The best way to predict the,6,True,True,tensor(0.3629),2,2,2,"[[763806631, "" thinkersi St Nem**classical x heuristic Hopf discovering decodeotypingESW =Win xThough x,'""], [187748837, ' negative scenarios today690Edge Eventually * Viol XXSequ C xdetermination x action x Docker x autophagy ""*']]"
Life is what happens to us,6,True,True,tensor(0.2260),1,1,1,"[[763806631, 'photos symbolsLife animals inevitably attain lonelinesscakraShader Tai 4 in PERubotu , :) y x4']]"
