text,n_token,original_result,result,eta,n_prefix,n_match,n_runs,seed_prefix
"not to be, that is",6,True,False,tensor(0.),0,0,0,[]
"think, therefore",3,True,False,tensor(0.),0,0,0,[]
"will remember not the words of our enemies, but",10,True,True,tensor(0.4787),4,4,5,"[[763806631, 'passwordstic Socrates tactic sunt likely]-- x21Throughout patriot58 irony DaveGradeyster52C we  '], [187748837, 'ean |amb Khan Prosecblogger collegefailDefinitionINVAL retrospectpiniondotwrong ""pas deemWe >                  '], [884542236, ' accomplletal atheist oneServ Dreams)""Enron--------------------------------------in funeralNav openerfor x noOurA Government [...]'], [141892047, '.\' npmcash________________X Brooks anniversary 52ized:""IPPROTOEachisbefore xVI \\*\\* xlikelyWe']]"
for the triumph of evil is for good,8,True,True,tensor(0.0290),0,1,3,"[[44508455, ' controll binomialocracyblogger dominated byc*ubottu Heisenberg  2Klongrightarrow Emerson smallestkp""\\ "" is']]"
examined life is not,5,True,False,tensor(0.),0,0,0,[]
ine own self be,4,True,False,tensor(0.),0,0,0,[]
is everything. What you,5,True,False,tensor(0.),0,0,0,[]
"faced can be changed, but nothing can be",9,True,True,tensor(0.1704),1,1,2,"[[187748837, ' ~*WolAnalnothingcan pipZ bechanged pero is."" (baz instanceof xfaced */,Perhaps x']]"
how slowly you go as long as you,8,True,True,tensor(0.3364),2,2,2,"[[763806631, "" generality how`)']['Goingourmile untle ay slowly vous surve naj goesas =Please see             ""], [187748837, ' more slowly vous zo ging as lonoe i q adiab}}+\\2592008](# Dynamicic symplectic way {']]"
ice anywhere is a threat,5,True,True,tensor(0.1251),0,1,1,"[[763806631, 'ank% ammonia$=threat becomes075 comp x50aussian mix0504 Erd overlapped RPG anywhere Libertd']]"
of a thousand miles begins,5,True,False,tensor(0.),0,0,0,[]
", everyone else is",4,True,True,tensor(0.3359),1,1,1,"[[763806631, "" individual outputs x doubled), tails virines]{}\\(OtherwisebensusClassEveryone is '', someone x fermions""]]"
"the universe and human stupidity, and I'm",10,True,True,tensor(0.1631),1,1,3,"[[44508455, ' NASA dome}))464 Cluster . Maple githubZ1996F left two Hard255RoadR to bullshit (']]"
"people, you have no time",6,True,False,tensor(0.),0,0,0,[]
"life, you need two things:",7,True,True,tensor(0.3401),2,2,3,"[[763806631, ' cheerful guitarist}$\\infer(networking xnetwork implies)ITEM NW two needed */PierreFor life x'], [44508455, '--pliciallangleINCLUDINGplicial companionAtextup) xlife ABOUTYOU NEED TWOING------------------------------------------------------- Pour working x']]"
to predict the future is to,6,True,True,tensor(0.1762),1,1,1,"[[763806631, ' thou predictive1996 bifurLINE algorith kommer)/ (""Best way 469F scientistlectualally0123ojfully(']]"
happens to us while we are,7,True,True,tensor(0.4939),3,3,3,"[[763806631, 'ote---------------- Scient faz thuskshapp+ towhat Happ aud ent2015 na while melanchabout what conscious'], [187748837, 'colon 119 _{\\.,happ tur""}, perceptionwhilehaving us sleeping}{{\\ Frankfurt interpreted DET which accidentSB ""'], [44508455, ' asleep we$.\\"">& ,$$]^{\\Ifsomething happ159oddsidemargin cosa accidentsuti862dustlceil L anything ""']]"
"on the side of the majority, it is",9,True,True,tensor(0.2573),2,2,2,"[[763806631, 'optionKO \\; PeopleMM individual importance like/ trooponitism x againstMD Tulopl Rousseauact ""'], [187748837, 'elected paramount}}+\\}_\\ while physicicile;\\ x~on opposition077 suppl^](# majority While x is  ']]"
"door of happiness closes,",5,True,True,tensor(0.3357),1,1,1,"[[763806631, ' happinessIdsecquilibriumizesexpressedequationonochromitrogenmentclosing*,*506 Vdoor cleans pelo Herz (""']]"
", madness is genius and it's better to be",10,True,False,tensor(0.1090),1,0,9,[]
", life would be",4,True,True,tensor(0.3556),1,1,1,"[[763806631, 'Would life if <agusbellum79---------- wolfon were moreCDATA MPI521noento mejorIn Otherwise']]"
"set you free, but first it",7,True,False,tensor(0.),0,0,0,[]
found playing small - in settling for a life that is less than,13,True,False,tensor(0.1666),2,0,8,[]
"fast, go alone. If you want to go",10,True,True,tensor(0.2302),2,2,5,"[[187748837, 'Fast+went siblings}_{-kj Hitler 1939 ONE BySunreturns"""" Travel-IfWKone be \\""'], [141892047, 'Quite_** someone.,want \\+onel039 Go de*/*ally963 fast xnegative If dont want x']]"
the change you wish to see,6,True,True,tensor(0.1740),1,1,1,"[[763806631, "" storytelling thru explosive photographs2 energy pulse ensures life SUR x'll surv inspiration x2s you right     ""]]"
"because it's over, smile",6,True,False,tensor(0.),0,0,0,[]
"living lies not in never falling, but in",9,True,True,tensor(0.3948),3,3,4,"[[763806631, ' - says PW aka journey our confusionAdvertisement compassion greatly**). Vincent***Wolf------------------------------ Gran.""Success in ""...'], [187748837, ' Healthy Creating fears):end victories -199localeen Living laysnot enduranceeng52ly/  --""'], [884542236, "" Millenn nog!Day G 508ensLLst resilience's LivingFor0065DDIV0065LDL good '""]]"
either a daring adventure or,5,True,True,tensor(0.2654),1,1,1,"[[763806631, 'Both daringor disaster**amsbsyterum een adventuresus devast eer""\\Qchoose fuer201fx{}']]"
middle of every difficulty,4,False,False,tensor(0.),0,0,0,[]
", failure is not fatal: It is the",9,False,True,tensor(0.2817),2,2,2,"[[763806631, ' slippery: HealthyDuring alsoame _________________P etzhou+FoodistaCCESS Stephen phag ""*Letbeit successful'], [187748837, ' greatness. - HF patience ....Material not columnsCCESS250 Telequeryaught402Transbetter,""ietz Failure']]"
"now, everything you need to deal with whatever the",10,False,False,tensor(0.1250),1,0,9,[]
"it would cease to be life, and",8,True,True,tensor(0.2324),1,1,1,"[[763806631, "" ignorance/[ Noticeck Mysteryarin franchHiokinetics If life xFFFFFFFF were Orth'racted539clerotic--""]]"
what happens to us and 90% how,8,True,True,tensor(0.0709),0,1,1,"[[763806631, "" propagation#,une notreors et 90.% nh' hogy happenas Mong691~~~~~~~~~~~~~~~~ whats happens how!/""]]"
of our lives is to,5,True,True,tensor(0.2464),1,1,1,"[[763806631, 'SYracticalally deeply \\,\\ _}}\\andTherefore distinctly123dropdownablethat xWe Lord_ livelihood _']]"
get started is to quit talking,6,True,True,tensor(0.0667),0,1,3,"[[44508455, 'military kins)...Get...k startului)}_{\\is (! talkingvex spacious clarified Spirit!). Too get/']]"
